bicycle_hin_id,corridor,Miles,crashes,deaths,serious_injuries,first_year,last_year
1,S General Mcmullen,2.954,1,0,1,2026,2026
5,Sw Military Dr,0.214,1,0,1,2024,2024
18,Historic Old Hwy 90,0.082,1,1,0,2025,2025
